,X,person,speech,syllables,wordsyl,wc
1848,1848,Hillary Clinton,"We need to get a consensus through this campaign, which is why Iâ€™m talking about it everywhere I go, and we need to join the rest of the advanced world in having it.",43,33,1.303030303
2582,2582,Hillary Clinton,"And therefore, we have been raising questions about the nine bills that he introduced over twenty years, as to how they would work and what would be the impact on people's health care?",43,33,1.303030303
3357,3357,Hillary Clinton,"Maybe we can get something done together, if not, maybe I can find that slice of common ground to find somebody who will work with me on achieving a goal that we want.",43,33,1.303030303
5603,5603,Bernie Sanders,"But John Kerry, who is I think doing a very good job, has tried to at least get these people in the room together because both of them are being threatened by ISIS.",43,33,1.303030303
7122,7122,Ted Cruz,"And, I will say for those of us who believe people ought to come to this country legally, and we should enforce the law, we re tired of being told it's anti- immigrant.",43,33,1.303030303
7880,7880,Marco Rubio,"This is the lie that Ted's campaign is built on, and Rand touched upon it -- that he's the most conservative guy, and everyone else is a -- you know, everyone else is a rhino.",43,33,1.303030303
8931,8931,Ben Carson,"You know, we have the purveyors of hatred who take every single incident between people of two races and try to make a race war out of it, and drive wedges into people.",43,33,1.303030303
10088,10088,Chris Christie,And what we need to do is go at the things that they are most sensitive and most embarrassing to them; that they're hiding; get that information and put it out in public.,43,33,1.303030303
11876,11876,Jeb Bush,"There are eight hundred thousand cops on the beat, they ought to be trained to be the eyes and ears for law enforcement for the threat against terror as well as for immigration.",43,33,1.303030303
13109,13109,John Kasich,"Well, itâ€™s probably not, maybe, legal, but, I would pick Mother Theresa, the lady that I had a chance to meet, a woman who lived a life so much bigger than her own.",43,33,1.303030303
13429,13429,John Kasich,I took the state of Ohio from an $eight billion hole and a three hundred fifty thousand job loss to a $two billion surplus and a gain of three hundred fifty thousand jobs.,43,33,1.303030303
13975,13975,Martin O'Malley,"During the Cold War -- during the Cold War, we got into a bad habit of always looking to see who was wearing the jersey of the communists, and who was wearing the U.",43,33,1.303030303
14100,14100,Martin O'Malley,"And now what we have is a whole stretch now, of the coast of Libya, one hundred miles, one hundred fifty miles, that has now become potentially the next safe haven for ISIL.",43,33,1.303030303
1231,1231,Donald Trump,"Carl said, no, no -- but he's somebody -- these are the kind of people that we should use to negotiate and not the China people that we have who are political hacks who don't know what they're doing and we have problems like this.",56,43,1.302325581
9964,9964,Chris Christie,"We need to make sure that people understand, as Jeb said before, that if you've done extraordinarily well in this country, do you want them to take more out of your taxes now and think they're gonna give it back to you later?",56,43,1.302325581
13097,13097,John Kasich,"You know, at the end of the day, Iâ€™m going to continue to talk about my record, because there is, did you ever notice when people run for office, they run for president, they make a lot of promises, they donâ€™t keep them.",56,43,1.302325581
13850,13850,Martin O'Malley,"I believe whether it's a back door or a front door that the American principle of law should still hold that our federal government should have to get a warrant, whether they want to come through the back door or your front door.",56,43,1.302325581
5228,5228,Bernie Sanders,"What I would do is understand that when you have three out of the four largest banks today, bigger than they were when we bailed them out because they were too big to fail, when you have the six largest financial institutions having assets of sixty percent of the GDP of America, it is very clear to me what you have to do.",82,63,1.301587302
2647,2647,Hillary Clinton,"And I can tell you that the hedge fund billionaires who are running ads against me right now, and Karl Rove, who started running an ad against me right now, funded by money from the financial services sector, sure thing, I'm the one they don't want to be up against.",65,50,1.3
3722,3722,Hillary Clinton,"When you have been subjected to the level, the velocity of attacks that come every day, even if there is no factual basis to it, it's just normal for people to say, gosh, there has got to be something, why do they keep saying this and then we do that.",65,50,1.3
14427,14427,Martin O'Malley,"Anderson, look, this is â€” the big banks â€” I mean, once we repealed Glass-Steagall back in the late one thousand nine hundred ninety nines, the big banks, the six of them, went from controlling, what, the equivalent of fifteen percent of our GDP to now sixty five percent of our GDP.",65,50,1.3
8225,8225,Marco Rubio,"And if we continue those cuts that we're doing now, not to mention additional cuts, we are going to be left with the oldest and the smallest Air Force this country has ever had, and that leaves us less safe.",52,40,1.3
10047,10047,Chris Christie,"And yes, we would shoot down the planes of Russian pilots if in fact they were stupid enough to think that this president was the same feckless weakling that the president we have in the Oval Office is right now.",52,40,1.3
12530,12530,John Kasich,"And I will tell you, as a former Congressman, and an executive, in Ohio, I can promise you that I believe you'll get the votes to pass that, and we can move on with that issue and protect our border.",52,40,1.3
12891,12891,John Kasich,"But all of my career, you know, having been raised in -- by a mailman father whose father was a coal miner, who died of black lung and was losing his eyesight; or a mother whose mother could barely speak English.",52,40,1.3
375,375,Donald Trump,"So I will say this, though, Hugh was giving me name after name, Arab name, Arab name, and there are few people anywhere, anywhere that would have known those names.",39,30,1.3
713,713,Donald Trump,"But, if Putin wants to go and knocked the hell out of ISIS, I am all for it, one hundred%, and I can't understand how anybody would be against it|",39,30,1.3
3783,3783,Hillary Clinton,But I honestly think that the best answer to this is the fact that everybody that I know who looks at what's happening in this campaign sees the same thing.,39,30,1.3
7347,7347,Ted Cruz,"Jake, there is no more important topic in two thousand sixteen than this topic right here, and Iâ€™ve listened to several folks saying, â€œWell, gosh, if they cheat, weâ€™ll act.",39,30,1.3
7935,7935,Marco Rubio,"And when I'm president, I can tell you this, my faith will not just influence the way I'll govern as president, it will influence the way I live my life.",39,30,1.3
8035,8035,Marco Rubio,"Well, first of all, let's understand why we are even having this debate and why Donald tapped in to some of that anger that's out there about this whole issue.",39,30,1.3
8518,8518,Marco Rubio,"You also have to prove that you're going to pay these people more than you would pay someone else, so that you're not undercutting it by bringing in cheap labor.",39,30,1.3
8835,8835,Marco Rubio,"In fact, what they will begin to say to local communities is, you will not get federal money unless do you things the way we want you to do it.",39,30,1.3
10564,10564,Chris Christie,"These efforts we've taken over the last three years, two thousand fifteen in New Jersey, for the first time in four years, drug overdose deaths have gone down, not up.",39,30,1.3
10852,10852,Rand Paul,"You have those on the right who clamor and say, oh, we will spend anything on the military, and those on the left who say the same for domestic welfare.",39,30,1.3
12746,12746,John Kasich,"You know, one of our biggest national security issues is the world looks at us some time, and we look at each other and say, why can't we solve problems?",39,30,1.3
999,999,Donald Trump,"Frankly, I would have said get out of Syria; get out -- if we didn't have the power of weaponry today.",26,20,1.3
1534,1534,Donald Trump,"Because -- assuming that she runs, by the way, how she gets away with the e-mail stuff is hard to believe.",26,20,1.3
1569,1569,Donald Trump,"And I will tell you, though, with all of that being said, you can not negotiate this way with terrorists.",26,20,1.3
2259,2259,Hillary Clinton,"And maybe the back door is the wrong door, and I understand what Apple and others are saying about that.",26,20,1.3
2578,2578,Hillary Clinton,So this is the kind of approach that we should take in dealing with what is now a growing epidemic.,26,20,1.3
2659,2659,Hillary Clinton,"But, there are serious questions about how we're going to pay for what we want to see our country do.",26,20,1.3
3745,3745,Hillary Clinton,"You know, I never thought I'd be standing on a stage here asking people to vote for me for president.",26,20,1.3
5460,5460,Bernie Sanders,I want to see working people and young people come into the party in a way that doesnâ€™t exist now.,26,20,1.3
5903,5903,Bernie Sanders,"So we're goin to fight for pay equity, make sure that everybody earns the same amount for the same work.",26,20,1.3
6039,6039,Bernie Sanders,"And what I have said and repeat through a virtually all-white state, but I'll say this all over the country.",26,20,1.3
6533,6533,Ted Cruz,That means on day one his efforts to restrict the Second Amendment go away with the strike of a pen.,26,20,1.3
7881,7881,Marco Rubio,"The truth is, Ted, throughout this campaign, you've been willing to say or do anything in order to get votes.",26,20,1.3
8116,8116,Marco Rubio,"You used to say that you were in favor of birthright citizenship, now you say that you are against it.",26,20,1.3
9036,9036,Ben Carson,It is because our Air Force is incapable of doing the same things that it did a few years ago.,26,20,1.3
10479,10479,Chris Christie,"I'll get in my cars, head to the governor's mansion, order a pizza, open a beer and watch the Mets.",26,20,1.3
10807,10807,Rand Paul,But the other thing I said is the great irony is you will be back fighting against your own weapons.,26,20,1.3
11369,11369,Jeb Bush,"No one knows whether we're serious, and when we do it, we do it in increments you can barely see.",26,20,1.3
12104,12104,Jeb Bush,"And if you make $forty thousand a year, a family of four, you don't pay any income tax at all.",26,20,1.3
12167,12167,Jeb Bush,"You canâ€™t just, you know, talk about this stuff and insult leaders around the world and expect a good result.",26,20,1.3
12303,12303,Jeb Bush,"Well, Iâ€™m surprised Senator Cruz would say that since he was as strong supporter of John Roberts at the time.",26,20,1.3
12654,12654,John Kasich,But what we need to do is turn it over to the regional powers to be able to handle that.,26,20,1.3
12762,12762,John Kasich,"It requires tax cuts, because that sends a message to the job creators that things are headed the right way.",26,20,1.3
13251,13251,John Kasich,"When there are financial crisis, or a crisis with ebola, you got to go there and try to fix it.",26,20,1.3
13535,13535,Martin O'Malley,"An when very few other people would step up who could bring us together and turn it around, I did.",26,20,1.3
13609,13609,Martin O'Malley,You want the straight truth and you want us to face our challenges fearlessly and make this new reality ours.,26,20,1.3
13800,13800,Martin O'Malley,"We need to build on the Affordable Care Act, do the things that work, and reduce costs and increase access.",26,20,1.3
14015,14015,Martin O'Malley,But there is a better way forward than either of those offered by my two opponents here on this stage.,26,20,1.3
14329,14329,Martin O'Malley,"Thanks to President Obama, our country has come a long way since the Wall Street crash of two thousand eight.",26,20,1.3
14386,14386,Martin O'Malley,"And we did it by leading with principle, not by pandering to the NRA and backing down to the NRA.",26,20,1.3
258,258,Donald Trump,"They are bad actors, bad things are going to happen.",13,10,1.3
266,266,Donald Trump,You said youâ€™re going to cut funding for womenâ€™s health.,13,10,1.3
290,290,Donald Trump,"Well, I have to tell you, I hear phenomenal things.",13,10,1.3
312,312,Donald Trump,"This is a country where we speak English, not Spanish.",13,10,1.3
983,983,Donald Trump,They have to come back into through a legal process.,13,10,1.3
1145,1145,Donald Trump,We have a huge mental health problem in this country.,13,10,1.3
1579,1579,Donald Trump,Our country that we love so much doesn't win anymore.,13,10,1.3
1584,1584,Donald Trump,You look at what other countries are doing to us.,13,10,1.3
1998,1998,Hillary Clinton,Itâ€™s an important one that we should be engaged in.,13,10,1.3
2433,2433,Hillary Clinton,"I'm the only person saying, no middle class tax raises.",13,10,1.3
2492,2492,Hillary Clinton,"be brought in, either a congressional vote or a U.",13,10,1.3
2522,2522,Hillary Clinton,The list goes on because the differences are so stark.,13,10,1.3
2592,2592,Hillary Clinton,"But the fact is, we have the Affordable Care Act.",13,10,1.3
2669,2669,Hillary Clinton,But I think we still have to carefully watch them.,13,10,1.3
2761,2761,Hillary Clinton,Well because I am a progressive who gets things done.,13,10,1.3
3053,3053,Hillary Clinton,We have to trade with the other ninety five percent.,13,10,1.3
3123,3123,Hillary Clinton,We're going to get a question right from the voters.,13,10,1.3
3175,3175,Hillary Clinton,"If it were easy, hey, there wouldn't be any contest.",13,10,1.3
3372,3372,Hillary Clinton,But how do we make sure that never happens again?,13,10,1.3
3479,3479,Hillary Clinton,I am a progressive who gets things done for people.,13,10,1.3
3490,3490,Hillary Clinton,"They've been good to my husband, to me, my family.",13,10,1.3
3520,3520,Hillary Clinton,"But I -- well, you know, I don't really know, Anderson.",13,10,1.3
3668,3668,Hillary Clinton,I could not understand how they got away with it.,13,10,1.3
3684,3684,Hillary Clinton,So I know I have to keep defending against them.,13,10,1.3
3797,3797,Hillary Clinton,You know I respect him going after the big banks.,13,10,1.3
3851,3851,Hillary Clinton,I mean they're not giving me very much money now.,13,10,1.3
4077,4077,Bernie Sanders,But you have not been in the United States Congress.,13,10,1.3
4168,4168,Bernie Sanders,"But in terms of education, this is what I think.",13,10,1.3
4231,4231,Bernie Sanders,The planet â€” the future of the planet is at stake.,13,10,1.3
4318,4318,Bernie Sanders,But you have not been in the United States Congress.,13,10,1.3
4409,4409,Bernie Sanders,"But in terms of education, this is what I think.",13,10,1.3
4472,4472,Bernie Sanders,The planet â€” the future of the planet is at stake.,13,10,1.3
4750,4750,Bernie Sanders,Thatâ€™s not the America that I think we should be.,13,10,1.3
4773,4773,Bernie Sanders,Our staffer at that point did exactly the right thing.,13,10,1.3
4806,4806,Bernie Sanders,"Number one, our goal is to crush and destroy ISIS.",13,10,1.3
4892,4892,Bernie Sanders,The troops on the ground should not be American troops.,13,10,1.3
4960,4960,Bernie Sanders,"So with that invocation, let me say a few words.",13,10,1.3
5081,5081,Bernie Sanders,She is the best parent and grandmother that I know.,13,10,1.3
5289,5289,Bernie Sanders,"And as president, I will fight to make that happen.",13,10,1.3
5341,5341,Bernie Sanders,But here's an issue that we also should talk about.,13,10,1.3
5343,5343,Bernie Sanders,It is a budget larger than the next eight countries'.,13,10,1.3
5363,5363,Bernie Sanders,Have I ever once said a word about that issue?,13,10,1.3
5443,5443,Bernie Sanders,Never believed it would happen that we have raised three.,13,10,1.3
5450,5450,Bernie Sanders,"In that race the Democrat was the spoiler, not me.",13,10,1.3
5477,5477,Bernie Sanders,"Well, some people might think, yeah, that had some influence.",13,10,1.3
6163,6163,Bernie Sanders,"Well, where we can, we work with our Republican friends.",13,10,1.3
6354,6354,Bernie Sanders,People in Vermont and New Hampshire would laugh at me.,13,10,1.3
6364,6364,Bernie Sanders,I know you've been in journalism for a long time.,13,10,1.3
6806,6806,Ted Cruz,"Actually, I'd love to get you to build a wall.",13,10,1.3
7094,7094,Ted Cruz,We've done it before and we can do it again.,13,10,1.3
7421,7421,Ted Cruz,Weâ€™ll pass a simple flat tax and abolish the IRS.,13,10,1.3
7777,7777,Marco Rubio,And they're going to tell us where the terrorists are.,13,10,1.3
7833,7833,Marco Rubio,And I do not believe it's a good idea now.,13,10,1.3
8011,8011,Marco Rubio,Because criminals don't buy their guns from a gun show.,13,10,1.3
8048,8048,Marco Rubio,"China doesn't pay the tariff, the buyer pays the tariff.",13,10,1.3
8492,8492,Marco Rubio,"My dad was a bartender, my mother was a maid.",13,10,1.3
8829,8829,Marco Rubio,And it should happen at the state and local level.,13,10,1.3
9063,9063,Ben Carson,And he didnâ€™t sound like what they said Republicans were.,13,10,1.3
9195,9195,Ben Carson,People who know me know that I'm an honest person.,13,10,1.3
9256,9256,Ben Carson,I don't want to go in and tear anybody down.,13,10,1.3
9561,9561,Ben Carson,"You go south, you're into Chad and Sudan and Niger.",13,10,1.3
9580,9580,Ben Carson,"So, this is going to be, obviously, a big deal.",13,10,1.3
9604,9604,Ben Carson,"I'm still here, and I'm not going any place either.",13,10,1.3
9793,9793,Chris Christie,That doesnâ€™t mean we should be legalizing gate way drugs.,13,10,1.3
9797,9797,Chris Christie,And Senator Paul knows that thatâ€™s simply not the truth.,13,10,1.3
9888,9888,Chris Christie,And I'm going to go to Washington to stop it|,13,10,1.3
9901,9901,Chris Christie,"They like General Motors, so they give them a pass.",13,10,1.3
9968,9968,Chris Christie,Are you fed up with how Washington wastes your money?,13,10,1.3
10044,10044,Chris Christie,"In fact, I would talk to Vladimir Putin a lot.",13,10,1.3
10362,10362,Chris Christie,"But when you're a governor, you have to admit it.",13,10,1.3
10535,10535,Chris Christie,Let New Jersey be the canary in the coal mine.,13,10,1.3
10761,10761,Rand Paul,"If I was mentioned in the question, can I respond?",13,10,1.3
10782,10782,Rand Paul,"By pushing Assad back, we did create a safe space.",13,10,1.3
10978,10978,Rand Paul,I will spend every ounce of energy to stop it.,13,10,1.3
11228,11228,Rand Paul,ISIS rides around in a billion dollars worth of U.,13,10,1.3
11552,11552,Jeb Bush,You should stick with it and that's exactly what happened.,13,10,1.3
11737,11737,Jeb Bush,twenty three million files in the hands of the Chinese?,13,10,1.3
12083,12083,Jeb Bush,And you can go get it at jebtwo thousand sixteen.,13,10,1.3
12221,12221,Jeb Bush,â€ù It was passed in one thousand nine hundred eighty eight.,13,10,1.3
12379,12379,Jeb Bush,"In Florida, they called me Jeb, because I earned it.",13,10,1.3
12429,12429,Jeb Bush,Weâ€™ve done it twenty seven times since World War II.,13,10,1.3
12870,12870,John Kasich,One of them is a statewide use of deadly force.,13,10,1.3
12913,12913,John Kasich,"First and foremost, we need to go and destroy ISIS.",13,10,1.3
12934,12934,John Kasich,"In addition to that, Wolf, there is a big problem.",13,10,1.3
13337,13337,John Kasich,We're one of the fastest growing states in the country.,13,10,1.3
13492,13492,John Kasich,We had a $five trillion surplus and we cut taxes.,13,10,1.3
13670,13670,Martin O'Malley,We need wage policies that make wages go up again.,13,10,1.3
14101,14101,Martin O'Malley,They go back and forth between Syria and this region.,13,10,1.3
14252,14252,Martin O'Malley,It is not what the people expect of our country.,13,10,1.3
14266,14266,Martin O'Malley,"Itâ€™s saved a lot of lives along the way, Senator.",13,10,1.3
14299,14299,Martin O'Malley,My daughters went to college on a mountain of bills.,13,10,1.3
14458,14458,Martin O'Malley,And theyâ€™re the phrases â€œnew leadershipâ€ù and â€œgetting things done.,13,10,1.3
8434,8434,Marco Rubio,"This nation is going to turn the page, and that's what this election should be about, and, as I said at the first debate if I am our nominee, they will be the party of the past, we will be the party of the twenty onest century.",61,47,1.29787234
13600,13600,Martin O'Malley,"And you employ five thousand people in the new industry, and the great thing about those big component parts you see rumbling down the highway on I-eighty is they're too darn big for it to make a whole lot of sense to import them from other countries.",61,47,1.29787234
4734,4734,Bernie Sanders,"And I was determined to do everything that I could to make VA health care the best in the world, to expand benefits to the men and women who put their lives on the line to defending.",48,37,1.297297297
4895,4895,Bernie Sanders,"My plan is to make it work, to tell Saudi Arabia that instead of going to war in Yemen, they, one of the wealthiest countries on Earth, are going to have to go to war against ISIS.",48,37,1.297297297
6199,6199,Bernie Sanders,"She has worked with children when she began, and God only knows that we need a lot of work, given the fact that we have the highest rate of childhood poverty of any major country on Earth.",48,37,1.297297297
9273,9273,Ben Carson,"Now, as far as monitoring is concerned, what my point is, we need to make sure that any place - I don't care whether it's a mosque, a school, a supermarket, a theater, you know it doesn't matter.",48,37,1.297297297
12261,12261,Jeb Bush,"But the simple fact is, if a high school kid asks me a question in Spanish, a school â€” by the way, a voucher program that was created under my watch, the largest voucher program in the country, where kids can go to a Christian school, and they ask me a question in Spanish, Iâ€™m going to show respect and answer that question in Spanish.",83,64,1.296875
8478,8478,Marco Rubio,"Over the last few weeks, I've listened to Jeb as he walked around the country and said that you're modeling your campaign after John McCain, that you're going to launch a furious comeback the way he did, by fighting hard in New Hampshire and places like that, carrying your own bag at the airport.",70,54,1.296296296
273,273,Donald Trump,"Second of all, we have a lot of really bad dudes in this country from outside, and I think Chris knows that, maybe as well as anybody.",35,27,1.296296296
859,859,Donald Trump,"Frankly, that will make people think because they may not care much about their lives, but they do care, believe it or not, about their families' lives.",35,27,1.296296296
1812,1812,Hillary Clinton,"Well, thereâ€™s a lot that I would like to do to build on the successes of President Obama, but also, as Iâ€™m laying out, to go beyond.",35,27,1.296296296
1922,1922,Hillary Clinton,"So, I think weâ€™ve got to understand the complexity of the world that we are facing and no place is more so than in the Middle East.",35,27,1.296296296
2607,2607,Hillary Clinton,"In other words, people could buy in to Medicare, and even when the Democrats were in charge of the Congress, we couldn't get the votes for that.",35,27,1.296296296
2918,2918,Hillary Clinton,And I would have to make an evaluation based on the circumstances at the time I took office as to how much help they continue to need.,35,27,1.296296296
3339,3339,Hillary Clinton,"Everything I want to do, I want to start from the belief that we can find common ground, and tha is exactly what I intend to do.",35,27,1.296296296
4647,4647,Bernie Sanders,And what we need to do is bring people together to work on the agreement where there is broad consensus and thatâ€™s what I intend to do.,35,27,1.296296296
6409,6409,Ted Cruz,"Now, at the time, I was at the caucuses, I was getting ready to speak at the caucuses just like Ben was, just like everyone else was.",35,27,1.296296296
7217,7217,Ted Cruz,"As he stood on the deck of that ferryboat with the wind and salt air blowing, he looked back at the oppression and torture he was escaping.",35,27,1.296296296
9111,9111,Ben Carson,"And this is one of the myths that the left perpetrates on our society, and this is how they frighten people and get people to shut up.",35,27,1.296296296
9608,9608,Chris Christie,"The fact is â€” the fact is, in the eight years before I became governor, taxes and fees were raised at the state level one hundred fifteen times.",35,27,1.296296296
9765,9765,Chris Christie,And I will tell you that what those people wanted and what they deserved was for America to answer back against what had been done to them.,35,27,1.296296296
9885,9885,Chris Christie,"Or, are you going to deal with the problem by saying, I'm going to give people who've done well in this country less benefit on the backend.",35,27,1.296296296
10482,10482,Chris Christie,"They didn't pass a tax increase, because I vetoed it and they never closed the government because they knew I would fight for what I believed in.",35,27,1.296296296
10547,10547,Chris Christie,We are working with the folks in New Hampshire in their legislature right now to show them how we're helping to solve this problem in New Jersey.,35,27,1.296296296
10820,10820,Rand Paul,"We need to confront Russia from a position of strength, but we don't need to confront Russia from a point of recklessness that would lead to war.",35,27,1.296296296
11724,11724,Jeb Bush,"We need to control the border, we need to do all of this in a comprehensive way, not just going back and forth and talking about stuff.",35,27,1.296296296
12018,12018,Jeb Bush,She is a captive of the left of her party to the point now where she is -- she was for the trade agreement in -- the Pacific agreement.,35,27,1.296296296
12286,12286,Jeb Bush,"I mean, the lack of judgment and the lack of understanding about how the world works is really dangerous in this kind of time that weâ€™re saying.",35,27,1.296296296
12758,12758,John Kasich,And I've done it when I was in Washington when we had a balanced budget; had four years of balanced budgets; paid down a half-trillion of debt.,35,27,1.296296296
7539,7539,Marco Rubio,"But Martha, just -- Martha, just to clarify on that point, because he's right, and one more thing to point -- it is standard procedure of the United States to shoot down those missiles once launched if they pose a threat to civilians, land and ships.",57,44,1.295454545
5236,5236,Bernie Sanders,"In two thousand six when I ran for the Senate, Senator Barack Obama was kind enough to campaign for me, two thousand eight, I did my best to see that he was elected and in two thousand twelve, I worked as hard as I could to see that he was reelected.",66,51,1.294117647
1183,1183,Donald Trump,"And some of them, I will say, not all, have called me and said, Donald, thank you very much; you're exposing an unbelievable problem and we have to get to the bottom of it.",44,34,1.294117647
1329,1329,Donald Trump,"And remember this, I'm the only one up here, when the war of Iraq -- in Iraq, I was the one that said, Don't go, don't do it, you're going to destabilize the Middle East.",44,34,1.294117647
3938,3938,Hillary Clinton,"So I would spend the day, you know, out in nature, talking a long walk, walking through one of the beautiful towns here in New Hampshire, stopping in a cafe, stopping in a bookstore.",44,34,1.294117647
7386,7386,Ted Cruz,"And then in two thousand five, in one room was John Roberts, in another room was my former boss, Mike Luttig, the rock ribbed conservative on the Fourth Circuit Court of Appeals George W.",44,34,1.294117647
7565,7565,Marco Rubio,"In essence, it couldn't pass in the House, it will never pass in the United States until we secure the border, and it is not the way we're going to do when I'm president.",44,34,1.294117647
11321,11321,Jeb Bush,"And I think John is right about this, there are crippling sanctions that are available, as it relates to the two or three banks that North Korea uses to -- to -- use it -- illicit trade.",44,34,1.294117647
11483,11483,Jeb Bush,"We shouldn't have the war fighters have their arms tied behind their back as President Obama wanted to do, but they had a chance to show support and it wasn't popular at the time.",44,34,1.294117647
11782,11782,Jeb Bush,"In fact, it will push the Muslim world, the Arab world away from us at a time when we need to reengage with them to be able to create a strategy to destroy ISIS.",44,34,1.294117647
12317,12317,Jeb Bush,"So, you can rewrite history, I guess, Ted, but the simple fact is that you supported him because he had all the criteria that you would have thought would have made a great justice.",44,34,1.294117647
14412,14412,Martin O'Malley,"Which is why â€” and I see the chair of the DNC here, look how glad we are actually to be talking about the issues that matter the most to people around the kitchen table.",44,34,1.294117647
38,38,Donald Trump,"Border Patrol, people that I deal with, that I talk to, they say this is whatâ€™s happening.",22,17,1.294117647
445,445,Donald Trump,But a lot of what we talked about is words and it will be forgotten very quickly.,22,17,1.294117647
1079,1079,Donald Trump,"And if you become the nominee, who the hell knows if you can even serve in office?",22,17,1.294117647
1220,1220,Donald Trump,"China, they don't like to tell us but they have total control -- just about, of North Korea.",22,17,1.294117647
1238,1238,Donald Trump,They can't -- when they order the product and when they finally get the product it is taxed.,22,17,1.294117647
1840,1840,Hillary Clinton,And it has not had the ill effects that the Republicans are always saying it will have.,22,17,1.294117647
2128,2128,Hillary Clinton,And thatâ€™s what we need to be doing to the best of our ability in our country.,22,17,1.294117647
2398,2398,Hillary Clinton,But out-of-pocket costs have gone up too much and prescription drug costs have gone through the roof.,22,17,1.294117647
2546,2546,Hillary Clinton,"And third, I would be working, in every way that I knew, to bring our country together.",22,17,1.294117647
3835,3835,Hillary Clinton,"That's what they offered, so you know every secretary of State that I know has done that.",22,17,1.294117647
5086,5086,Bernie Sanders,"Well, thank you very much for hosting this debate, and let me applaud my colleagues up here.",22,17,1.294117647
5616,5616,Bernie Sanders,"And I would say if I might, Madam Secretary â€” and you can correct me if Iâ€™m wrong.",22,17,1.294117647
5647,5647,Bernie Sanders,"What I did next, Rachel, is I had to retreat a little bit, I had to compromise.",22,17,1.294117647
5832,5832,Bernie Sanders,I pay for that because we're going to ask Wall Street to pay a tax on speculation.,22,17,1.294117647
6946,6946,Ted Cruz,It gave us greater tools and we are seeing those tools work right now in San Bernardino.,22,17,1.294117647
7267,7267,Ted Cruz,The questions that are being asked shouldn't be trying to get people to tear into each other.,22,17,1.294117647
7329,7329,Ted Cruz,"Iâ€™m a dad to two little girls who are the loves of my life, Caroline and Catherine.",22,17,1.294117647
8331,8331,Marco Rubio,For what's at stake in this election is not simply what party's going to be in charge.,22,17,1.294117647
8645,8645,Marco Rubio,"But he taught me that in Spanish, because it was the language he was most comfortable in.",22,17,1.294117647
9227,9227,Ben Carson,"And I think in order to make them look like losers, we have to destroy their caliphate.",22,17,1.294117647
9377,9377,Ben Carson,He needs to recognize that those kinds of things are in fact an existential threat to us.,22,17,1.294117647
9862,9862,Chris Christie,Where I see the weakness is in those three people that are left on the Democratic stage.,22,17,1.294117647
10126,10126,Chris Christie,"So the indignation that you carry on, some of the stuff, you have to also own then.",22,17,1.294117647
10838,10838,Rand Paul,But I have taken the position that we have a lot of problems here in our country.,22,17,1.294117647
10909,10909,Rand Paul,I think it's a mistake that we give up power to the presidency on these trade deals.,22,17,1.294117647
10995,10995,Rand Paul,People in Washington think they were sent there to be adults and govern and do all this.,22,17,1.294117647
11080,11080,Rand Paul,Would we not all be worried to have someone like that in charge of the nuclear arsenal?,22,17,1.294117647
11317,11317,Jeb Bush,The next president of the United States is going to have to get back in the game.,22,17,1.294117647
11370,11370,Jeb Bush,The United States has to lead in a much more aggressive way than we're doing right now.,22,17,1.294117647
11977,11977,Jeb Bush,"We should have a support for the remnants of the Syrian Free Army, and create safe zones.",22,17,1.294117647
12056,12056,Jeb Bush,"I just don't believe that this country's days are going to be deeply -- you know, going down.",22,17,1.294117647
12125,12125,Jeb Bush,And I think this has become something that needs to be looked at in terms of regulation.,22,17,1.294117647
12194,12194,Jeb Bush,"Thatâ€™s not going to change anything, but we can be much stronger as it relates to that.",22,17,1.294117647
12696,12696,John Kasich,"They've been stepped on for too long in this society, and we are beginning to treat them.",22,17,1.294117647
12813,12813,John Kasich,"Get it done, because our -- our children and grandchildren are counting on us to get it done.",22,17,1.294117647
13101,13101,John Kasich,"Can I just â€” can I â€” Jake, can I just make one point on this whole military discussion?",22,17,1.294117647
13630,13630,Martin O'Malley,"He saved us from a second Great Depression, from the recklessness and the greed on Wall Street.",22,17,1.294117647
14022,14022,Martin O'Malley,"And that's why today you still cannot support, as I do, breaking up the big banks and making sure that we pass a modern-day Glass- Steagall, like we had in late one thousand nine hundred ninety nine, before it was repealed and led to the crash, where so many millions of families lost their jobs and their homes.",75,58,1.293103448
431,431,Donald Trump,"Just the other day, two years old, two and a half years old, a child, a beautiful child went to have the vaccine, and came back, and a week later got a tremendous fever, got very, very sick, now is autistic.",53,41,1.292682927
12517,12517,John Kasich,"Well, you know, David, I -- I've just spent a lot of time here in this state, as I mentioned earlier, and we have to have practical solutions, just like we were just talking about a few minutes ago on North Korea.",53,41,1.292682927
12715,12715,John Kasich,"And if I were president of the United States right now, I'd be lining up our allies to say that, if one crossed T or one dotted I does not occur, they are -- violate the agreement, we slap back on sanctions.",53,41,1.292682927
306,306,Donald Trump,"Well, I think itâ€™s wonderful and all, but I did it a little bit half-heartedly, but I do mean it to a large extent.",31,24,1.291666667
443,443,Donald Trump,"We were discussing disease, we were discussing all sorts of things tonight, many of which will just be words, it will just pass on.",31,24,1.291666667
542,542,Donald Trump,"And right now, I will be putting up a tremendous -- so far, I've put up less than anybody and I have the best results.",31,24,1.291666667
548,548,Donald Trump,And you better get rid of them because they are causing a lot of bad decisions to be made by some very good people.,31,24,1.291666667
